Student_ID,Course_Number,Midterm_Grade,Current_Grade,Absences,Last_Absence
0001025,SC299-02,B,F,1,2018-04-30
0001036,SC299-02,C,D,5,2018-04-30
0001029,SC299-02,F,F,4,2018-05-01
0001026,SC299-02,A,A,1,2018-05-01
0001018,HS120-01,A,C,3,2018-05-08
0001022,HS120-01,F,A,1,2018-04-29
0001021,HS120-01,F,C,2,2018-05-08
0001025,HS120-01,F,D,1,2018-05-03
0001012,HS120-01,B,C,4,2018-05-03
0001037,HS120-01,D,F,3,2018-04-29
0001016,HS120-01,C,C,5,2018-05-10
0001036,HS120-01,D,A,4,2018-05-10
0001026,HS220-01,F,A,5,2018-04-28
0001006,HS220-01,A,D,2,2018-05-10
0001020,HS220-01,D,D,3,2018-04-28
0001029,HS220-01,A,D,4,2018-05-09
0001039,HS220-01,B,C,2,2018-05-06
0001016,HS220-01,F,C,3,2018-05-10
0001026,EX120-01,F,A,4,2018-04-27
0001021,EX120-01,F,C,3,2018-04-30
0001030,EX120-01,D,F,1,2018-05-08
0001018,EX120-01,C,F,3,2018-04-30
0001037,EX120-01,F,A,4,2018-05-02
0001004,EX120-01,A,F,4,2018-05-05
0001024,EX120-02,F,F,3,2018-05-11
0001028,EX120-02,B,D,3,2018-04-28
0001004,EX120-02,A,B,4,2018-05-08
0001037,EX120-02,D,A,2,2018-05-03
0001031,EX120-02,B,F,5,2018-04-29
0001001,EX120-02,C,D,5,2018-05-03
0001014,EX120-03,F,F,4,2018-05-05
0001033,EX120-03,F,D,3,2018-04-28
0001002,EX120-03,A,A,4,2018-05-09
0001024,EX120-03,A,F,2,2018-04-28
0001036,EX120-03,D,A,5,2018-05-03
0001006,EX120-03,B,D,1,2018-05-06
0001009,EX120-03,B,A,4,2018-05-06
0001020,EX120-03,F,A,5,2018-05-01
0001025,POL220-01,D,A,1,2018-05-01
0001002,POL220-01,C,F,1,2018-05-05
0001019,POL220-01,A,F,5,2018-05-02
0001014,POL220-01,F,F,1,2018-04-30
0001031,POL220-01,D,F,2,2018-05-05
0001027,POL220-01,F,F,3,2018-05-02
0001037,POL220-01,D,D,2,2018-05-07
0001038,POL220-01,B,A,2,2018-05-05
0001020,POL220-01,B,F,3,2018-05-06
0001039,POL220-01,A,C,4,2018-04-27
0001001,POL220-01,D,C,2,2018-05-11
0001036,POL220-01,B,A,1,2018-05-04
0001031,POL220-01,A,F,3,2018-04-27
0001004,POL220-01,C,F,5,2018-05-01
0001029,POL220-01,A,F,5,2018-05-02
0001011,POL420-01,C,F,4,2018-05-05
0001030,POL420-01,C,B,2,2018-05-05
0001026,POL420-01,D,D,3,2018-04-27
0001019,POL420-01,D,F,3,2018-05-09
0001009,POL420-01,C,F,4,2018-05-01
0001005,POL420-01,A,F,2,2018-05-06
0001023,POL420-01,A,B,5,2018-05-07
0001015,POL420-01,A,A,4,2018-05-05
0001004,PSY120-01,F,F,1,2018-04-27
0001010,PSY120-01,D,D,1,2018-05-11
0001039,PSY120-01,D,C,1,2018-05-01
0001003,PSY120-01,D,B,2,2018-05-01
0001030,PSY120-01,F,B,3,2018-05-07
